,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
261,741,70006,Precious Kemmer,Mr,Male,1,Single,31,2020-06-01,2022-06-28,Inactive,2022-06-28,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984.0
262,742,194054,Josie Gutkowski,Mr,Male,1,Married,31,2020-12-26,2021-02-27,Inactive,2021-02-27,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984.0
263,743,194055,Prof Bertha Emard Sr,Mr,Male,1,Married,31,2020-12-15,2021-02-25,Inactive,2021-02-25,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
264,744,194028,Shanny Kohler MD,Mr,Male,1,Married,1,2020-09-07,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1975.0
265,747,2924,Craig Gutmann,Mr,Male,1,Single,7,2017-02-01,,Active,,,,Staff,Contarct Basis,Buddhist,Store Keeper,1994.0
266,749,75099,Miss Frances Barton IV,Mr,Male,1,Married,135,2019-10-01,,Active,,,,Labour,Contarct Basis,Buddhist,Wacher,1951.0
267,750,75231,Dallin Feeney,Mr,Male,1,Married,37,2019-12-08,,Inactive,2020-08-31,,,Labour,Contarct Basis,Buddhist,Driver-Tractor,1958.0
268,751,194001,Kristina Bahringer,Mr,Male,1,Married,43,2020-01-04,,Inactive,2020-04-24,,,Labour,Contarct Basis,Buddhist,Operator - JCB,1978.0
269,752,194003,Mr German Spinka DDS,Mr,Male,1,Single,31,2020-02-05,,Inactive,2020-03-17,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0
270,753,661,Dr Marco Casper,Mr,Male,1,Married,102,2007-05-14,,Inactive,2020-02-28,,,Staff,Contarct Basis,Buddhist,Tractor Driver,1963.0
271,754,4437,Herman Cronin,Mr,Male,1,Single,31,2019-01-01,,Active,,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1997.0
272,755,4622,Lorine Grimes,Mr,Male,1,Married,31,2019-02-27,,Active,,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976.0
273,756,182001,Adah Tromp,Mr,Male,3,Married,123,2020-01-01,,Inactive,2020-03-21,,,Labour,Contarct Basis,Hindu,Carpenter,1973.0
274,757,5013,Lisa Jaskolski,Mr,Male,1,Married,123,2020-07-01,2022-04-30,Inactive,2022-04-30,,,Labour,Contarct Basis,Buddhist,Carpenter,1973.0
275,758,182004,Leon Trantow,Ms,Female,1,Married,29,2020-02-01,,Active,,,,Labour,Contarct Basis,Buddhist,Cook,1981.0
276,760,179022,Myrtle Hammes,Mr,Male,1,Married,30,2020-12-07,,Active,,,,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1967.0
277,761,4974,Vanessa Tremblay IV,Mr,Male,1,Single,38,2020-06-01,2022-05-17,Inactive,2022-05-17,,,Labour,Contarct Basis,Buddhist,Office Assistant,1993.0
278,762,70028,Hulda Leannon III,Mr,Male,1,Married,134,2019-07-01,2020-12-19,Inactive,2020-12-19,,,Labour,Contarct Basis,Buddhist,Caretaker,1952.0
279,764,75232,Nelson Considine,Mr,Male,1,Single,31,2019-12-28,,Inactive,2020-03-19,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003.0
280,765,75233,Prof Garret Blanda I,Mr,Male,1,Single,31,2019-12-28,,Inactive,2020-03-19,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003.0
281,767,5022,Sierra Marks,Mr,Male,1,Married,31,2020-01-22,,Inactive,2020-12-31,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993.0
282,770,191001,Elenor Nitzsche,Mr,Male,1,Married,31,2020-02-12,,Inactive,2020-07-21,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1964.0
283,772,3977,Theron Nader,Mr,Male,3,Single,31,2020-01-01,2021-10-31,Inactive,2021-10-31,,,Labour,Contarct Basis,Hindu,Unskilled Labor,1997.0
284,776,75008,Ms Trisha Barrows DVM,Mr,Male,1,Single,55,2019-10-28,2020-12-12,Inactive,2020-12-12,,,Labour,Contarct Basis,Buddhist,Fitter,1997.0
285,777,196039,Evert Christiansen,Mr,Male,1,Single,31,2020-08-14,,Inactive,2020-09-22,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001.0
286,778,4989,Rosina Feil DVM,Mr,Male,1,Married,31,2020-06-01,2022-06-08,Inactive,2022-06-08,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1961.0
287,780,75230,Jean Stanton,Mr,Male,1,Single,31,2019-12-20,,Inactive,2020-09-09,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0
288,781,3980,Janessa Powlowski,Mr,Male,4,Married,31,2019-01-01,2022-03-20,Inactive,2022-03-20,,,Labour,Contarct Basis,Catholic,Unskilled Labor,1990.0
